word,total_freq,occur_freq,std,cv
离奇,10,7,0.10285951086709835,15.490642336585012
脸庞,10,8,0.10285951086709835,15.490642336585012
枕头,20,11,0.2057190217341967,15.490642336585012
罚,10,7,0.10285951086709835,15.490642336585012
殴打,10,8,0.10285951086709835,15.490642336585012
一记,10,8,0.10285951086709835,15.490642336585012
炸裂,10,8,0.10285951086709835,15.490642336585012
三国演义,10,7,0.10285951086709835,15.490642336585012
事务所,13,8,0.13361801167569756,15.479132737200041
服务生,13,9,0.13361801167569756,15.479132737200041
朦胧诗,13,8,0.13361801167569756,15.479132737200041
峰,13,7,0.13361801167569756,15.479132737200041
分解,13,9,0.13361801167569756,15.479132737200041
大娘,13,8,0.13361801167569756,15.479132737200041
出水,13,8,0.13361801167569756,15.479132737200041
代表大会,13,9,0.13361801167569756,15.479132737200041
植入,13,9,0.13361801167569756,15.479132737200041
冯至,13,9,0.13361801167569756,15.479132737200041
枝条,13,9,0.13361801167569756,15.479132737200041
单元,13,9,0.13361801167569756,15.479132737200041
废品,13,8,0.13361801167569756,15.479132737200041
古希腊,13,9,0.13361801167569756,15.479132737200041
长子,13,8,0.13361801167569756,15.479132737200041
地狱,13,9,0.13361801167569756,15.479132737200041
老伴,13,8,0.13361801167569756,15.479132737200041
沙哑,13,8,0.13361801167569756,15.479132737200041
评定,13,9,0.13361801167569756,15.479132737200041
莫言,13,8,0.13361801167569756,15.479132737200041
学号,13,7,0.13361801167569753,15.47913273720004
河道,13,8,0.13361801167569753,15.47913273720004
大桥,13,8,0.13361801167569753,15.47913273720004
细胞,52,18,0.53447204670279,15.479132737200036
书市,62,16,0.6371873074546722,15.477485242366717
购物中心,24,11,0.24664754854011559,15.477133670892254
星际,24,11,0.24664754854011559,15.477133670892254
猴子,24,7,0.24664754854011553,15.47713367089225
桂花,24,9,0.24664754854011553,15.47713367089225
双学位,129,37,1.3254957726434322,15.474392508534955
玩家,85,11,0.8731658915294349,15.470445089921517
多样性,38,21,0.38998175516514305,15.45559271786067
跑步,136,41,1.394286972500102,15.439677798420245
合成,74,18,0.7584687332190735,15.435863678755739
展品,33,11,0.33822135780091583,15.43519287418725
网吧,67,16,0.6866296888089328,15.433795691735115
登山队,42,10,0.4302850326647461,15.428791885550181
北青人,37,12,0.3787963826459428,15.418036547697023
梁子,53,10,0.5424446619328401,15.413616242846361
越南,25,12,0.2558544175399304,15.412670112605406
少数民族,28,14,0.28634183046075196,15.401099881210444
一中,19,11,0.19413767544795735,15.38796522234862
彭,19,11,0.19413767544795732,15.387965222348617
福建省,19,8,0.1941376754479573,15.387965222348615
信封,34,16,0.34690091022209973,15.365669729249475
占有,37,18,0.37703935902941427,15.346520937791835
政协委员,11,7,0.1120841279398625,15.345336061584812
娱乐性,11,8,0.1120841279398625,15.345336061584812
干货,11,8,0.1120841279398625,15.345336061584812
伊斯兰教,11,8,0.1120841279398625,15.345336061584812
清扫,11,8,0.1120841279398625,15.345336061584812
墓地,11,8,0.1120841279398625,15.345336061584812
警方,11,8,0.1120841279398625,15.345336061584812
快节奏,11,8,0.1120841279398625,15.345336061584812
小白鼠,11,7,0.1120841279398625,15.345336061584812
种菜,11,8,0.1120841279398625,15.345336061584812
换乘,11,8,0.1120841279398625,15.345336061584812
议会,11,7,0.1120841279398625,15.345336061584812
艺术作品,11,8,0.1120841279398625,15.345336061584812
商学院,11,8,0.1120841279398625,15.345336061584812
海岸线,11,8,0.1120841279398625,15.345336061584812
抽调,11,8,0.1120841279398625,15.345336061584812
宗璞,11,8,0.1120841279398625,15.345336061584812
蝼蚁,11,7,0.1120841279398625,15.345336061584812
中产,11,7,0.1120841279398625,15.345336061584812
骗子,11,8,0.1120841279398625,15.345336061584812
罪名,11,8,0.1120841279398625,15.345336061584812
陷落,11,8,0.1120841279398625,15.345336061584812
聘书,11,8,0.1120841279398625,15.345336061584812
排查,11,8,0.1120841279398625,15.345336061584812
一两句,11,8,0.1120841279398625,15.345336061584812
逆转,11,8,0.1120841279398625,15.345336061584812
让步,11,8,0.1120841279398625,15.345336061584812
老龄化,11,8,0.1120841279398625,15.345336061584812
麻醉,11,8,0.1120841279398625,15.345336061584812
公示,11,8,0.1120841279398625,15.345336061584812
大白菜,11,8,0.1120841279398625,15.345336061584812
武斗,11,8,0.1120841279398625,15.345336061584812
诗坛,11,8,0.11208412793986249,15.34533606158481
入学考试,11,8,0.11208412793986249,15.34533606158481
武力,11,8,0.11208412793986249,15.34533606158481
爱恋,11,8,0.11208412793986249,15.34533606158481
轮滑,11,8,0.11208412793986249,15.34533606158481
重镇,11,8,0.11208412793986249,15.34533606158481
权益部,22,9,0.22416825587972497,15.34533606158481
扑灭,11,8,0.11208412793986249,15.34533606158481
全国政协,11,8,0.11208412793986249,15.34533606158481
文艺理论,11,8,0.11208412793986249,15.34533606158481
进食,11,8,0.11208412793986249,15.34533606158481
中转站,11,8,0.11208412793986249,15.34533606158481
高数,11,8,0.11208412793986249,15.34533606158481
落魄,11,8,0.11208412793986249,15.34533606158481
伤病,11,8,0.11208412793986249,15.34533606158481
菜肴,11,7,0.11208412793986249,15.34533606158481
野性,11,8,0.11208412793986249,15.34533606158481
选调,11,8,0.11208412793986249,15.34533606158481
故土,11,8,0.11208412793986249,15.34533606158481
瓦片,11,8,0.11208412793986249,15.34533606158481
兄长,11,7,0.11208412793986249,15.34533606158481
睡眠,68,25,0.6928440984834504,15.344459004648181
自拍,23,14,0.23426403983207125,15.339201912482578
营业执照,23,11,0.23426403983207125,15.339201912482578
理学,21,10,0.21359375391067834,15.317723494737217
俏皮,16,10,0.16262703335821127,15.307269514841638
色情,16,10,0.16262703335821127,15.307269514841638
花坛,16,9,0.16262703335821127,15.307269514841638
蔚秀园,16,10,0.16262703335821124,15.307269514841634
摄入,16,10,0.16262703335821124,15.307269514841634
安全性,16,8,0.16262703335821124,15.307269514841634
伊,16,10,0.16262703335821121,15.307269514841632
饭厅,143,48,1.4534434194023345,15.306893633705704
垃圾桶,52,19,0.5282236860128193,15.298170598755885
海滩,17,10,0.17249073907356688,15.280650179105395
站岗,17,10,0.17249073907356685,15.280650179105391
庸俗,15,11,0.15212221097335574,15.273069981724916
四门,15,11,0.15212221097335574,15.273069981724916
而定,15,11,0.15212221097335574,15.273069981724916
晚点,15,11,0.1521222109733557,15.273069981724914
转入,45,22,0.4563666329200672,15.273069981724914
馆员,15,11,0.1521222109733557,15.273069981724914
柚子,15,8,0.1521222109733557,15.273069981724914
细菌,15,9,0.1521222109733557,15.273069981724914
望远镜,15,9,0.15212221097335568,15.27306998172491
桥,115,43,1.1650677127228775,15.257321524875247
主办方,25,11,0.2532458523379151,15.255530144836005
野生动物,25,11,0.2532458523379151,15.255530144836005
普通话,62,25,0.6277383798576246,15.24796774299327
自治区,20,9,0.20246553942568826,15.245655118754327
宋代,20,10,0.20246553942568826,15.245655118754327
总部,20,14,0.20246553942568826,15.245655118754327
乾隆,20,8,0.20246553942568826,15.245655118754327
勿,20,11,0.20246553942568826,15.245655118754327
杀手,39,18,0.3941723891955673,15.221118413551906
文化节,50,20,0.5051790035790168,15.215991587799987
链,18,11,0.18181770082469942,15.212080968999851
工具书,18,9,0.1818177008246994,15.21208096899985
师父,18,9,0.1818177008246994,15.21208096899985
馆里,18,12,0.1818177008246994,15.21208096899985
检讨,18,12,0.18181770082469936,15.212080968999848
食品,163,36,1.6454206043713542,15.202475031799137
田野,34,19,0.34305130668201994,15.195154937150647
毕业论文,62,31,0.6245569708211215,15.17069029123563
吻,30,15,0.3020540465501971,15.163113136819893
活动中心,23,15,0.23141222765900316,15.152470211063424
饭卡,23,10,0.23141222765900313,15.152470211063422
西班牙语,23,10,0.23141222765900313,15.152470211063422
联赛,14,9,0.14083288090404714,15.149594188678213
小提琴,28,13,0.2816657618080943,15.149594188678213
天安门城楼,14,8,0.14083288090404714,15.149594188678213
歌会,14,8,0.14083288090404714,15.149594188678213
劳动者,14,8,0.14083288090404714,15.149594188678213
因子,14,9,0.1408328809040471,15.14959418867821
第一口,14,9,0.1408328809040471,15.14959418867821
炕,14,9,0.1408328809040471,15.14959418867821
书单,14,9,0.1408328809040471,15.14959418867821
大厨,14,9,0.1408328809040471,15.14959418867821
五道口,113,36,1.135717723104508,15.136202575180432
著作权,12,8,0.12060158654031954,15.135499110810102
翻译家,12,8,0.12060158654031954,15.135499110810102
吴宓,12,8,0.12060158654031954,15.135499110810102
自我实现,12,8,0.12060158654031952,15.1354991108101
热线,12,8,0.12060158654031952,15.1354991108101
厂商,12,8,0.12060158654031952,15.1354991108101
万平方米,12,8,0.12060158654031952,15.1354991108101
乙,12,8,0.12060158654031952,15.1354991108101
离散,12,8,0.12060158654031952,15.1354991108101
孙中山,12,8,0.12060158654031952,15.1354991108101
海外版,12,7,0.12060158654031951,15.135499110810098
七日,12,8,0.12060158654031951,15.135499110810098
粉红,12,8,0.12060158654031951,15.135499110810098
文库,12,8,0.12060158654031951,15.135499110810098
打滚,12,8,0.12060158654031951,15.135499110810098
足球队,12,8,0.12060158654031951,15.135499110810098
学三,12,8,0.12060158654031951,15.135499110810098
城墙,12,8,0.12060158654031951,15.135499110810098
独创性,12,7,0.12060158654031951,15.135499110810098
起飞,12,8,0.12060158654031951,15.135499110810098
口述,53,19,0.5325617722600013,15.132793000444565
花朵,19,12,0.19068669534080354,15.114429641223692
闻一多,27,12,0.27089436283060553,15.109885571218218
英,82,31,0.8219818600971307,15.096398552515595
季羡林,122,37,1.2228775596150236,15.095521350657588
咸,21,13,0.21046204042847116,15.093134899298933
台北,33,15,0.3302750397461716,15.07255181387074
天使,36,15,0.35996480777437073,15.058527791894509
抄袭,50,10,0.49989372937028165,15.056799128632884
吃货,48,18,0.4796455361201592,15.048878695769995
攀登,66,23,0.6585365327912044,15.026606339144754
数院,34,11,0.33915801113870425,15.022704846320252
清唱,28,10,0.27929837114919615,15.02226239109605
搭讪,28,14,0.2792983711491961,15.022262391096046
亭,59,17,0.5879989356720277,15.008921985119892
人品,20,12,0.1991589149563608,14.996666296213967
姜,20,9,0.1991589149563608,14.996666296213967
天井,20,11,0.1991589149563608,14.996666296213967
文学社,33,11,0.3282584052709013,14.980519949635676
司法,27,10,0.26843199243953725,14.972540022738633
睿,63,34,0.626105684297898,14.966907310359277
创业者,64,19,0.6350122147936875,14.94263117936396
婆婆,25,12,0.247946403945847,14.936291373697824
研究室,17,9,0.1685972532925889,14.935733144625816
安保,17,9,0.1685972532925889,14.935733144625816
卢梭,17,11,0.16859725329258884,14.93573314462581
功效,17,11,0.16859725329258884,14.93573314462581
泉水,17,10,0.16859725329258884,14.93573314462581
信徒,17,9,0.16859725329258884,14.93573314462581
程序员,17,10,0.16859725329258884,14.93573314462581
球员,22,9,0.21816361852398286,14.9342913407781
广播,66,34,0.6544908555719485,14.934291340778097
新文学,16,8,0.15849142163080243,14.91800506099928
洞穴,16,9,0.1584914216308024,14.918005060999278
振兴,16,11,0.1584914216308024,14.918005060999278
上报,16,9,0.1584914216308024,14.918005060999278
堵车,16,11,0.1584914216308024,14.918005060999278
亏损,16,9,0.1584914216308024,14.918005060999278
奇幻,16,11,0.15849142163080238,14.918005060999274
棕色,16,11,0.15849142163080238,14.918005060999274
净化,16,11,0.15849142163080238,14.918005060999274
教职,16,11,0.15849142163080238,14.918005060999274
周二,16,11,0.15849142163080238,14.918005060999274
